Federal Individual Income Tax Rates History,,,,,,,,,,,,,
Nominal Dollars,,,,,,,,,,,,,
 Income Years 1913-2021,,,,,,,,,,,,,
,Married Filing Jointly,,,Married Filing Separately,,,Single Filer,,,Head of Household,,,Notes:
,38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",
,43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",
,47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",
,50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",
,53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",
,56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",
,59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",
,62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",
,65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",
,69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",
,72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",
,75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",
,78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",
,81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",
,84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",
,87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",
,89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",
,90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",
,91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",
,,,,,,,,,,,,,
1947,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,"Tax rates include normal tax of 3 percent plus applicable surtax, and the maximum effective tax rate on net income was 87.2 percent.  Last law to change rates was the Internal Revenue Code of 1945."
,22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",
,26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",
,30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",
,34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",
,38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",
,43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",
,47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",
,50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",
,53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",
,56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",
,59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",
,62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",
,65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",
,69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",
,72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",
,75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",
,78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",
,81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",
,84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",
,87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",
,89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",
,90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",
,91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",
,,,,,,,,,,,,,
1946,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,20.0%,>,$0,"Tax rates include normal tax of 3 percent plus applicable surtax. Tax liability according to these rates was reduced by 5 percent, and the maximum effective tax rate on net income was 85.5 percent. Last law to change rates was the Internal Revenue Code of 1945."
,22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",
,26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",
,30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",
,34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",
,38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",
,43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",43.0%,>,"$12,000",
,47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",47.0%,>,"$14,000",
,50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",50.0%,>,"$16,000",
,53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",53.0%,>,"$18,000",
,56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",56.0%,>,"$20,000",
,59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",59.0%,>,"$22,000",
,62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",62.0%,>,"$26,000",
,65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",65.0%,>,"$32,000",
,69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",69.0%,>,"$38,000",
,72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",72.0%,>,"$44,000",
,75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",75.0%,>,"$50,000",
,78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",78.0%,>,"$60,000",
,81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",81.0%,>,"$70,000",
,84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",84.0%,>,"$80,000",
,87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",87.0%,>,"$90,000",
,89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",89.0%,>,"$100,000",
,90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",90.0%,>,"$150,000",
,91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",91.0%,>,"$200,000",
,,,,,,,,,,,,,
1945,23.0%,>,$0,23.0%,>,$0,23.0%,>,$0,23.0%,>,$0,"Tax rates include normal tax of 3 percent plus applicable surtax, and the maximum effective tax rate on net income was 87.2 percent. Last law to change rates was the Revenue Act Code of 1945."
,25.0%,>,"$2,000",25.0%,>,"$2,000",25.0%,>,"$2,000",25.0%,>,"$2,000",
,29.0%,>,"$4,000",29.0%,>,"$4,000",29.0%,>,"$4,000",29.0%,>,"$4,000",
,33.0%,>,"$6,000",33.0%,>,"$6,000",33.0%,>,"$6,000",33.0%,>,"$6,000",
,37.0%,>,"$8,000",37.0%,>,"$8,000",37.0%,>,"$8,000",37.0%,>,"$8,000",
,41.0%,>,"$10,000",41.0%,>,"$10,000",41.0%,>,"$10,000",41.0%,>,"$10,000",
,46.0%,>,"$12,000",46.0%,>,"$12,000",46.0%,>,"$12,000",46.0%,>,"$12,000",
,50.0%,>,"$14,000",50.0%,>,"$14,000",50.0%,>,"$14,000",50.0%,>,"$14,000",
,53.0%,>,"$16,000",53.0%,>,"$16,000",53.0%,>,"$16,000",53.0%,>,"$16,000",
,56.0%,>,"$18,000",56.0%,>,"$18,000",56.0%,>,"$18,000",56.0%,>,"$18,000",
,59.0%,>,"$20,000",59.0%,>,"$20,000",59.0%,>,"$20,000",59.0%,>,"$20,000",
,62.0%,>,"$22,000",62.0%,>,"$22,000",62.0%,>,"$22,000",62.0%,>,"$22,000",
,65.0%,>,"$26,000",65.0%,>,"$26,000",65.0%,>,"$26,000",65.0%,>,"$26,000",
,68.0%,>,"$32,000",68.0%,>,"$32,000",68.0%,>,"$32,000",68.0%,>,"$32,000",
,72.0%,>,"$38,000",72.0%,>,"$38,000",72.0%,>,"$38,000",72.0%,>,"$38,000",
,75.0%,>,"$44,000",75.0%,>,"$44,000",75.0%,>,"$44,000",75.0%,>,"$44,000",
,78.0%,>,"$50,000",78.0%,>,"$50,000",78.0%,>,"$50,000",78.0%,>,"$50,000",
,81.0%,>,"$60,000",81.0%,>,"$60,000",81.0%,>,"$60,000",81.0%,>,"$60,000",
,84.0%,>,"$70,000",84.0%,>,"$70,000",84.0%,>,"$70,000",84.0%,>,"$70,000",
,87.0%,>,"$80,000",87.0%,>,"$80,000",87.0%,>,"$80,000",87.0%,>,"$80,000",
,90.0%,>,"$90,000",90.0%,>,"$90,000",90.0%,>,"$90,000",90.0%,>,"$90,000",
,92.0%,>,"$100,000",92.0%,>,"$100,000",92.0%,>,"$100,000",92.0%,>,"$100,000",
,93.0%,>,"$150,000",93.0%,>,"$150,000",93.0%,>,"$150,000",93.0%,>,"$150,000",
,94.0%,>,"$200,000",94.0%,>,"$200,000",94.0%,>,"$200,000",94.0%,>,"$200,000",
,,,,,,,,,,,,,
1944,23.0%,>,$0,23.0%,>,$0,23.0%,>,$0,23.0%,>,$0,Tax rates include normal tax of 3 percent plus applicable surtax. The maximum effective tax rate on net income was 90 percent. Last law to change rates was the Individual Income Tax Act of 1944.
,25.0%,>,"$2,000",25.0%,>,"$2,000",25.0%,>,"$2,000",25.0%,>,"$2,000",
,29.0%,>,"$4,000",29.0%,>,"$4,000",29.0%,>,"$4,000",29.0%,>,"$4,000",
,33.0%,>,"$6,000",33.0%,>,"$6,000",33.0%,>,"$6,000",33.0%,>,"$6,000",
,37.0%,>,"$8,000",37.0%,>,"$8,000",37.0%,>,"$8,000",37.0%,>,"$8,000",
,41.0%,>,"$10,000",41.0%,>,"$10,000",41.0%,>,"$10,000",41.0%,>,"$10,000",
,46.0%,>,"$12,000",46.0%,>,"$12,000",46.0%,>,"$12,000",46.0%,>,"$12,000",
,50.0%,>,"$14,000",50.0%,>,"$14,000",50.0%,>,"$14,000",50.0%,>,"$14,000",
,53.0%,>,"$16,000",53.0%,>,"$16,000",53.0%,>,"$16,000",53.0%,>,"$16,000",
,56.0%,>,"$18,000",56.0%,>,"$18,000",56.0%,>,"$18,000",56.0%,>,"$18,000",
,59.0%,>,"$20,000",59.0%,>,"$20,000",59.0%,>,"$20,000",59.0%,>,"$20,000",
,62.0%,>,"$22,000",62.0%,>,"$22,000",62.0%,>,"$22,000",62.0%,>,"$22,000",
,65.0%,>,"$26,000",65.0%,>,"$26,000",65.0%,>,"$26,000",65.0%,>,"$26,000",
,68.0%,>,"$32,000",68.0%,>,"$32,000",68.0%,>,"$32,000",68.0%,>,"$32,000",
,72.0%,>,"$38,000",72.0%,>,"$38,000",72.0%,>,"$38,000",72.0%,>,"$38,000",
,75.0%,>,"$44,000",75.0%,>,"$44,000",75.0%,>,"$44,000",75.0%,>,"$44,000",
,78.0%,>,"$50,000",78.0%,>,"$50,000",78.0%,>,"$50,000",78.0%,>,"$50,000",
,81.0%,>,"$60,000",81.0%,>,"$60,000",81.0%,>,"$60,000",81.0%,>,"$60,000",
,84.0%,>,"$70,000",84.0%,>,"$70,000",84.0%,>,"$70,000",84.0%,>,"$70,000",
,87.0%,>,"$80,000",87.0%,>,"$80,000",87.0%,>,"$80,000",87.0%,>,"$80,000",
,90.0%,>,"$90,000",90.0%,>,"$90,000",90.0%,>,"$90,000",90.0%,>,"$90,000",
,92.0%,>,"$100,000",92.0%,>,"$100,000",92.0%,>,"$100,000",92.0%,>,"$100,000",
,93.0%,>,"$150,000",93.0%,>,"$150,000",93.0%,>,"$150,000",93.0%,>,"$150,000",
,94.0%,>,"$200,000",94.0%,>,"$200,000",94.0%,>,"$200,000",94.0%,>,"$200,000",
,,,,,,,,,,,,,
1943,19.0%,>,$0,19.0%,>,$0,19.0%,>,$0,19.0%,>,$0,"Tax rates include normal tax of 6 percent plus applicable surtax. Victory tax of 5 percent of income in excess of $624 less credits of 25 percent of the tax for single persons, 40 percent for married persons or heads of household, and 2 percent for each dependent. Last law to change rates was the Revenue Act of 1942."
,22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",
,26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",
,30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",
,34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",
,38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",
,42.0%,>,"$12,000",42.0%,>,"$12,000",42.0%,>,"$12,000",42.0%,>,"$12,000",
,46.0%,>,"$14,000",46.0%,>,"$14,000",46.0%,>,"$14,000",46.0%,>,"$14,000",
,49.0%,>,"$16,000",49.0%,>,"$16,000",49.0%,>,"$16,000",49.0%,>,"$16,000",
,52.0%,>,"$18,000",52.0%,>,"$18,000",52.0%,>,"$18,000",52.0%,>,"$18,000",
,55.0%,>,"$20,000",55.0%,>,"$20,000",55.0%,>,"$20,000",55.0%,>,"$20,000",
,58.0%,>,"$22,000",58.0%,>,"$22,000",58.0%,>,"$22,000",58.0%,>,"$22,000",
,61.0%,>,"$26,000",61.0%,>,"$26,000",61.0%,>,"$26,000",61.0%,>,"$26,000",
,64.0%,>,"$32,000",64.0%,>,"$32,000",64.0%,>,"$32,000",64.0%,>,"$32,000",
,67.0%,>,"$38,000",67.0%,>,"$38,000",67.0%,>,"$38,000",67.0%,>,"$38,000",
,69.0%,>,"$44,000",69.0%,>,"$44,000",69.0%,>,"$44,000",69.0%,>,"$44,000",
,72.0%,>,"$50,000",72.0%,>,"$50,000",72.0%,>,"$50,000",72.0%,>,"$50,000",
,75.0%,>,"$60,000",75.0%,>,"$60,000",75.0%,>,"$60,000",75.0%,>,"$60,000",
,78.0%,>,"$70,000",78.0%,>,"$70,000",78.0%,>,"$70,000",78.0%,>,"$70,000",
,81.0%,>,"$80,000",81.0%,>,"$80,000",81.0%,>,"$80,000",81.0%,>,"$80,000",
,83.0%,>,"$90,000",83.0%,>,"$90,000",83.0%,>,"$90,000",83.0%,>,"$90,000",
,85.0%,>,"$100,000",85.0%,>,"$100,000",85.0%,>,"$100,000",85.0%,>,"$100,000",
,87.0%,>,"$150,000",87.0%,>,"$150,000",87.0%,>,"$150,000",87.0%,>,"$150,000",
,88.0%,>,"$200,000",88.0%,>,"$200,000",88.0%,>,"$200,000",88.0%,>,"$200,000",
,,,,,,,,,,,,,
1942,19.0%,>,$0,19.0%,>,$0,19.0%,>,$0,19.0%,>,$0,Tax rates include normal tax of 6 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1942.
,22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",22.0%,>,"$2,000",
,26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",26.0%,>,"$4,000",
,30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",30.0%,>,"$6,000",
,34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",34.0%,>,"$8,000",
,38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",38.0%,>,"$10,000",
,42.0%,>,"$12,000",42.0%,>,"$12,000",42.0%,>,"$12,000",42.0%,>,"$12,000",
,46.0%,>,"$14,000",46.0%,>,"$14,000",46.0%,>,"$14,000",46.0%,>,"$14,000",
,49.0%,>,"$16,000",49.0%,>,"$16,000",49.0%,>,"$16,000",49.0%,>,"$16,000",
,52.0%,>,"$18,000",52.0%,>,"$18,000",52.0%,>,"$18,000",52.0%,>,"$18,000",
,55.0%,>,"$20,000",55.0%,>,"$20,000",55.0%,>,"$20,000",55.0%,>,"$20,000",
,58.0%,>,"$22,000",58.0%,>,"$22,000",58.0%,>,"$22,000",58.0%,>,"$22,000",
,61.0%,>,"$26,000",61.0%,>,"$26,000",61.0%,>,"$26,000",61.0%,>,"$26,000",
,64.0%,>,"$32,000",64.0%,>,"$32,000",64.0%,>,"$32,000",64.0%,>,"$32,000",
,67.0%,>,"$38,000",67.0%,>,"$38,000",67.0%,>,"$38,000",67.0%,>,"$38,000",
,69.0%,>,"$44,000",69.0%,>,"$44,000",69.0%,>,"$44,000",69.0%,>,"$44,000",
,72.0%,>,"$50,000",72.0%,>,"$50,000",72.0%,>,"$50,000",72.0%,>,"$50,000",
,75.0%,>,"$60,000",75.0%,>,"$60,000",75.0%,>,"$60,000",75.0%,>,"$60,000",
,78.0%,>,"$70,000",78.0%,>,"$70,000",78.0%,>,"$70,000",78.0%,>,"$70,000",
,81.0%,>,"$80,000",81.0%,>,"$80,000",81.0%,>,"$80,000",81.0%,>,"$80,000",
,83.0%,>,"$90,000",83.0%,>,"$90,000",83.0%,>,"$90,000",83.0%,>,"$90,000",
,85.0%,>,"$100,000",85.0%,>,"$100,000",85.0%,>,"$100,000",85.0%,>,"$100,000",
,87.0%,>,"$150,000",87.0%,>,"$150,000",87.0%,>,"$150,000",87.0%,>,"$150,000",
,88.0%,>,"$200,000",88.0%,>,"$200,000",88.0%,>,"$200,000",88.0%,>,"$200,000",
,,,,,,,,,,,,,
1941,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,10.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1941.
,13.0%,>,"$2,000",13.0%,>,"$2,000",13.0%,>,"$2,000",13.0%,>,"$2,000",
,17.0%,>,"$4,000",17.0%,>,"$4,000",17.0%,>,"$4,000",17.0%,>,"$4,000",
,21.0%,>,"$6,000",21.0%,>,"$6,000",21.0%,>,"$6,000",21.0%,>,"$6,000",
,25.0%,>,"$8,000",25.0%,>,"$8,000",25.0%,>,"$8,000",25.0%,>,"$8,000",
,29.0%,>,"$10,000",29.0%,>,"$10,000",29.0%,>,"$10,000",29.0%,>,"$10,000",
,33.0%,>,"$12,000",33.0%,>,"$12,000",33.0%,>,"$12,000",33.0%,>,"$12,000",
,36.0%,>,"$14,000",36.0%,>,"$14,000",36.0%,>,"$14,000",36.0%,>,"$14,000",
,39.0%,>,"$16,000",39.0%,>,"$16,000",39.0%,>,"$16,000",39.0%,>,"$16,000",
,42.0%,>,"$18,000",42.0%,>,"$18,000",42.0%,>,"$18,000",42.0%,>,"$18,000",
,45.0%,>,"$20,000",45.0%,>,"$20,000",45.0%,>,"$20,000",45.0%,>,"$20,000",
,48.0%,>,"$22,000",48.0%,>,"$22,000",48.0%,>,"$22,000",48.0%,>,"$22,000",
,51.0%,>,"$26,000",51.0%,>,"$26,000",51.0%,>,"$26,000",51.0%,>,"$26,000",
,54.0%,>,"$32,000",54.0%,>,"$32,000",54.0%,>,"$32,000",54.0%,>,"$32,000",
,57.0%,>,"$38,000",57.0%,>,"$38,000",57.0%,>,"$38,000",57.0%,>,"$38,000",
,59.0%,>,"$44,000",59.0%,>,"$44,000",59.0%,>,"$44,000",59.0%,>,"$44,000",
,61.0%,>,"$50,000",61.0%,>,"$50,000",61.0%,>,"$50,000",61.0%,>,"$50,000",
,63.0%,>,"$60,000",63.0%,>,"$60,000",63.0%,>,"$60,000",63.0%,>,"$60,000",
,65.0%,>,"$70,000",65.0%,>,"$70,000",65.0%,>,"$70,000",65.0%,>,"$70,000",
,67.0%,>,"$80,000",67.0%,>,"$80,000",67.0%,>,"$80,000",67.0%,>,"$80,000",
,68.0%,>,"$90,000",68.0%,>,"$90,000",68.0%,>,"$90,000",68.0%,>,"$90,000",
,69.0%,>,"$100,000",69.0%,>,"$100,000",69.0%,>,"$100,000",69.0%,>,"$100,000",
,70.0%,>,"$150,000",70.0%,>,"$150,000",70.0%,>,"$150,000",70.0%,>,"$150,000",
,71.0%,>,"$200,000",71.0%,>,"$200,000",71.0%,>,"$200,000",71.0%,>,"$200,000",
,73.0%,>,"$250,000",73.0%,>,"$250,000",73.0%,>,"$250,000",73.0%,>,"$250,000",
,75.0%,>,"$300,000",75.0%,>,"$300,000",75.0%,>,"$300,000",75.0%,>,"$300,000",
,76.0%,>,"$400,000",76.0%,>,"$400,000",76.0%,>,"$400,000",76.0%,>,"$400,000",
,77.0%,>,"$500,000",77.0%,>,"$500,000",77.0%,>,"$500,000",77.0%,>,"$500,000",
,78.0%,>,"$750,000",78.0%,>,"$750,000",78.0%,>,"$750,000",78.0%,>,"$750,000",
,79.0%,>,"$1,000,000",79.0%,>,"$1,000,000",79.0%,>,"$1,000,000",79.0%,>,"$1,000,000",
,80.0%,>,"$2,000,000",80.0%,>,"$2,000,000",80.0%,>,"$2,000,000",80.0%,>,"$2,000,000",
,81.0%,>,"$5,000,000",81.0%,>,"$5,000,000",81.0%,>,"$5,000,000",81.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1940(A),4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Defense tax of 10 percent of normal tax and surtax (limited to 10 percent of excess of net income over sum of normal tax and surtax). Last law to change rates was the Revenue Act of 1940.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",10.0%,>,"$6,000",
,12.0%,>,"$8,000",12.0%,>,"$8,000",12.0%,>,"$8,000",12.0%,>,"$8,000",
,14.0%,>,"$10,000",14.0%,>,"$10,000",14.0%,>,"$10,000",14.0%,>,"$10,000",
,16.0%,>,"$12,000",16.0%,>,"$12,000",16.0%,>,"$12,000",16.0%,>,"$12,000",
,19.0%,>,"$14,000",19.0%,>,"$14,000",19.0%,>,"$14,000",19.0%,>,"$14,000",
,22.0%,>,"$16,000",22.0%,>,"$16,000",22.0%,>,"$16,000",22.0%,>,"$16,000",
,25.0%,>,"$18,000",25.0%,>,"$18,000",25.0%,>,"$18,000",25.0%,>,"$18,000",
,28.0%,>,"$20,000",28.0%,>,"$20,000",28.0%,>,"$20,000",28.0%,>,"$20,000",
,31.0%,>,"$22,000",31.0%,>,"$22,000",31.0%,>,"$22,000",31.0%,>,"$22,000",
,34.0%,>,"$26,000",34.0%,>,"$26,000",34.0%,>,"$26,000",34.0%,>,"$26,000",
,37.0%,>,"$32,000",37.0%,>,"$32,000",37.0%,>,"$32,000",37.0%,>,"$32,000",
,40.0%,>,"$38,000",40.0%,>,"$38,000",40.0%,>,"$38,000",40.0%,>,"$38,000",
,44.0%,>,"$44,000",44.0%,>,"$44,000",44.0%,>,"$44,000",44.0%,>,"$44,000",
,48.0%,>,"$50,000",48.0%,>,"$50,000",48.0%,>,"$50,000",48.0%,>,"$50,000",
,51.0%,>,"$60,000",51.0%,>,"$60,000",51.0%,>,"$60,000",51.0%,>,"$60,000",
,54.0%,>,"$70,000",54.0%,>,"$70,000",54.0%,>,"$70,000",54.0%,>,"$70,000",
,57.0%,>,"$80,000",57.0%,>,"$80,000",57.0%,>,"$80,000",57.0%,>,"$80,000",
,60.0%,>,"$90,000",60.0%,>,"$90,000",60.0%,>,"$90,000",60.0%,>,"$90,000",
,62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",62.0%,>,"$100,000",
,64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",64.0%,>,"$150,000",
,66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",66.0%,>,"$200,000",
,68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",68.0%,>,"$250,000",
,70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",70.0%,>,"$300,000",
,72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",72.0%,>,"$400,000",
,74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",74.0%,>,"$500,000",
,76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",76.0%,>,"$750,000",
,77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",77.0%,>,"$1,000,000",
,78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",78.0%,>,"$2,000,000",
,79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",79.0%,>,"$5,000,000",
,,,,,,,,,,,,,
1939,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,4.0%,>,$0,Tax rates include normal tax of 4 percent plus applicable surtax. Last law to change rates was the Revenue Act of 1938.
,8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",8.0%,>,"$4,000",
,9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",9.0%,>,"$6,000",
,10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",10.0%,>,"$8,000",
,11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",11.0%,>,"$10,000",
,12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",12.0%,>,"$12,000",
,13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",13.0%,>,"$14,000",
,15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",15.0%,>,"$16,000",
,17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",17.0%,>,"$18,000",
,19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",19.0%,>,"$20,000",
,21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",21.0%,>,"$22,000",
,23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",23.0%,>,"$26,000",
,25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",25.0%,>,"$32,000",
,28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",28.0%,>,"$38,000",
,31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",31.0%,>,"$44,000",
,35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",35.0%,>,"$50,000",
,39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",39.0%,>,"$56,000",
